[Võ Thuật|Dã Sử] Sanjuro 1962 1080p Bluray Remux AVC DTS-HD MA 3.0-NTL ~ Xuân Tam Thập Lang,https://www.fshare.vn/file/LYPGTGLAFZEP, Tsubaki.Sanjuro.1962.1080p.Bluray.Remux.AVC.DTS-HD.MA.3.0-NTL.mkv,  25.70 GB
[Võ Thuật|Dã Sử] Sanjuro 1962 1080p Bluray Remux AVC DTS-HD MA 3.0-NTL ~ Xuân Tam Thập Lang,https://www.fshare.vn/file/SFGSAQKCO8RW, Tsubaki.Sanjuro.1962.1080p.Bluray.Remux.AVC.DTS-HD.MA.3.0-NTL.srt,  70.90 KB
[Điều Tra|Hình Sự] Spotlight (2015) 1080p BluRay DTS x264-HDMaNiAcS~Tiêu Điểm,https://www.fshare.vn/file/H2HX27INKINH, Spotlight.2015.1080p.BluRay.DTS.x264-HDMaNiAcS.mkv,  14.75 GB
[Fshare|Tội phạm] The 400 Blows (1959) Bluray DTS HD-MA AVC Remux-HiFi ~ 400 Cú Đấm,https://www.fshare.vn/file/43Q8M6QW16GG, The.400.Blows.1959.Bluray.DTSHD-MA.AVC.Remux-HiFi.srt,  114.35 KB
[Hành Động|Giả Tưởng]Mad Max Collection(1979-2015)1080p BluRay DTS x264~ Anh Hùng Xa Lộ(4  phần),https://www.fshare.vn/file/RHXVF58F552J, Mad.Max.1979.1080p.BluRay.DTS.x264-CtrlHD.mkv,  14.04 GB
[Hành Động|Giả Tưởng]Mad Max Collection(1979-2015)1080p BluRay DTS x264~ Anh Hùng Xa Lộ(4  phần),https://www.fshare.vn/file/UCW6VL2AWIIQ, Mad.Max.1979.1080p.BluRay.DTS.x264-CtrlHD.srt,  58.07 KB
[Hành Động|Giả Tưởng]Mad Max Collection(1979-2015)1080p BluRay DTS x264~ Anh Hùng Xa Lộ(4  phần),https://www.fshare.vn/file/11QFNP9XPFP1, Mad.Max.2.1981.1080p.BluRay.DTS.x264-CtrlHD.mkv,  11.39 GB
[Hành Động|Giả Tưởng]Mad Max Collection(1979-2015)1080p BluRay DTS x264~ Anh Hùng Xa Lộ(4  phần),https://www.fshare.vn/file/SVS1GY8WOBCG, Mad.Max.2.1981.1080p.BluRay.DTS.x264-CtrlHD.srt,  64.96 KB
[Hành Động|Giả Tưởng]Mad Max Collection(1979-2015)1080p BluRay DTS x264~ Anh Hùng Xa Lộ(4  phần),https://www.fshare.vn/file/RMLU76Z5GLEU, Mad.Max.Beyond.Thunderdome.1985.720p.BluRay.DD5.1.x264-DON.mkv,  9.20 GB
[Hành Động|Giả Tưởng]Mad Max Collection(1979-2015)1080p BluRay DTS x264~ Anh Hùng Xa Lộ(4  phần),https://www.fshare.vn/file/Y928RVUCTWSZ, Mad.Max.Beyond.Thunderdome.1985.720p.BluRay.DD5.1.x264-DON.srt,  79.31 KB
[Hành Động|Giả Tưởng]Mad Max Collection(1979-2015)1080p BluRay DTS x264~ Anh Hùng Xa Lộ(4  phần),https://www.fshare.vn/file/5LABEURYCH5Y, Mad.Max.Fury.Road.2015.1080p.BluRay.DTS.x264-HDMaNiAcS.mkv,  16.86 GB
[Hành Động|Giả Tưởng]Mad Max Collection(1979-2015)1080p BluRay DTS x264~ Anh Hùng Xa Lộ(4  phần),https://www.fshare.vn/file/VL11TQZIBPFN, Mad.Max.Fury.Road.2015.1080p.BluRay.DTS.x264-HDMaNiAcS.srt,  115.23 KB
[MKV] Deadpool 2 2018 Duper Cut 1080p BluRay REMUX AVC DTS-HD MA 7.1-EPSiLON ~ Quái Nhân Deadpool 2,https://www.fshare.vn/file/9XN8UALWIITA, Deadpool.2.2018.The.Super.Duper.Cut.1080p.BluRay.REMUX.AVC.DTS-HD.MA.7.1-EPSiLON.mkv,  32.62 GB
[MKV] Deadpool 2 2018 Duper Cut 1080p BluRay REMUX AVC DTS-HD MA 7.1-EPSiLON ~ Quái Nhân Deadpool 2,https://www.fshare.vn/file/KKWJQSJYZUY3, Deadpool.2.2018.The.Super.Duper.Cut.1080p.BluRay.REMUX.AVC.DTS-HD.MA.7.1-EPSiLON.srt,  160.54 KB
[Thể Thao|Tâm Lý] Million Dollar Baby 2004 1080p BluRay DTS x264 D-Z0N3 ~ Cô Gái Triệu Đô,https://www.fshare.vn/file/5UNG1I61BBCF, Million.Dollar.Baby.2004.1080p.BluRay.DTS.x264.D-Z0N3.mkv,  13.89 GB
[Thể Thao|Tâm Lý] Million Dollar Baby 2004 1080p BluRay DTS x264 D-Z0N3 ~ Cô Gái Triệu Đô,https://www.fshare.vn/file/ZFUQW17L4GQ1, Million.Dollar.Baby.2004.1080p.BluRay.DTS.x264.D-Z0N3.srt,  174.92 KB
(Tâm Lý|Chính Kịch] 12 Years a Slave (2013) 1080p BluRay DTS x264-HDMaNiAcS ~ 12 Năm Nô Lệ,https://www.fshare.vn/file/B1WAEVYXIIOL, 12.Years.a.Slave.2013.1080p.BluRay.DTS.x264-HDMaNiAcS.mkv,  17.92 GB
(Tâm Lý|Chính Kịch] 12 Years a Slave (2013) 1080p BluRay DTS x264-HDMaNiAcS ~ 12 Năm Nô Lệ,https://www.fshare.vn/file/FQ6D2UVLZYLR, 12.Years.a.Slave.2013.1080p.BluRay.DTS.x264-HDMaNiAcS.srt,  95.63 KB
[Điều Tra|Hình Sự] Memories Of Murder 2003 1080p BluRay DTS x264-CtrlHD ~ Hồi Ức Kẻ Sát Nhân,https://www.fshare.vn/file/5WS2MPCB92AX, Salinui.chueok.2003.1080p.BluRay.DTS.x264-CtrlHD.mkv,  16.11 GB
